base	reading	count
嬰児	やや	1
堂上家	どうじようけ	1
伊織	いおり	1
御簾中	ごれんちゆう	1
作男	あらしこ	1
本所	ほんじよ	1
小普請組	こぶしんぐみ	1
嫁	とつ	1
諸大夫家	しよだいぶけ	1
掃部	かもん	1
六車宗伯	ろくしやそうはく	1
猪首	いくび	1
蕨	わらび	1
柳剛流	りゆうごうりゆう	1
喧嘩	けんか	1
勝太	かつた	1
秩父	ちちぶ	1
高麗	こまの	1
郡	こおり	1
比留間	ひるま	1
菰包	こもづつ	1
日野宿	ひのじゆく	1
康重	やすしげ	1
夜這	よば	1
入牢	じゆろう	1
肉厚	にくあつ	1
喚	わめ	1
剣尖	けんさき	1
左諸手	ひだりもろて	1
刃	やいば	1
退	さが	1
薙刀	なぎなた	1
柳町	やなぎちよう	1
仕手	して	1
漆	うるし	1
小半刻	こはんとき	1
気倒	けお	1
戞	かつ	1
萎	しお	1
調布	ちようふ	1
布田	ふだ	1
国領	こくりよう	1
五	ご	1
宿	じゆく	1
飯盛女	めしもりおんな	1
商人	あきんど	1
羅紗地	ラシヤじ	1
樫地	かしじ	1
地方	じかた	1
出教授	できようじゆ	1
伝通院	でんづういん	1
沖田総司	おきたそうじ	1
紺々	こんこん	1
掻	か	1
獲	と	1
四半刻	しはんとき	1
上	こ	1
屋	こ	1
鬢	びん	1
連雀	れんじやく	1
小仏峠	こぼとけとうげ	1
入府	にゆうふ	1
千人町	せんにんまち	1
臑	すね	1
七里研之助	しちりけんのすけ	1
縛	しば	1
厩橋	うまやばし	1
贅肉	ぜいにく	1
支度	したく	1
籠手	こて	1
取立免状	とりたてめんじよう	1
勝負	かちまけ	1
起籠手	おこりごて	1
新手	あらて	1
仕様	しざま	1
腋下	わきした	1
刺子	さしこ	1
奇良	まさよし	1
咄	はなし	1
乱離骨灰	らりこつぱい	1
股	もも	1
振	ふる	1
否	ひ	1
軽捷	けいしよう	1
獲	え	1
容貌	かお	1
香	こう	1
抗	あらが	1
兄	あに	1
三味	しやみ	1
洒脱	しやだつ	1
仕業	しわざ	1
垣間	かいま	1
表情	いろ	1
天王	てんのう	1
九品仏	くほんぶつ	1
式台	しきだい	1
愛想	あいそ	1
袴	はかま	1
二十	はたち	1
大山詣	おおやままい	1
猿田彦	さるだひこ	1
攘夷論	じよういろん	1
牛頭天王	ごずてんのう	1
神符	おふだ	1
凝然	ぎようぜん	1
爛	らん	1
拗	すね	1
長屋門	ながやもん	1
在	あ	1
固陋	ころう	1
安堵	あんど	1
直	じき	1
分倍河原	ぶばいがわら	1
中天	ちゆうてん	1
唇許	くちもと	1
砥石	といし	1
研師	とぎし	1
草履	ぞうり	1
下司下根	げすげこん	1
狼狽	ろうばい	1
晦	くら	1
正光院	しようこういん	1
権	ごん	1
博奕	ばくち	1
賭場	とば	1
袋叩	ふくろだた	1
卒塔婆	そとば	1
鎧	よろい	1
堀兼	ほりかね	1
相模	さがみ	1
乱暴者	ばらがき	1
北詰	きたづ	1
外	そ	1
巾着	きんちやく	1
先様	さきさま	1
賞	ほ	1
在家	ざいけ	1
今日	こんにち	1
分梅	ぶばい	1
挟	はさ	1
痒	かゆ	1
侵入	はい	1
伊香保	いかほ	1
衒気	げんき	1
後詰	ごづ	1
左袈裟	ひだりげさ	1
木	こ	1
下闇	したやみ	1
開	あ	1
前	めい	1
小面	こづら	1
何刻	なんどき	1
亥	よつつ	1
脂光	あかびか	1
桟	さん	1
膩薬	あぶらぐすり	1
焼酎	しようちゆう	1
童唄	わらべうた	1
烏	からす	1
啼	な	1
好悪	こうお	1
狼狽	うろたえ	1
旅塵	ほこり	1
桶	おけ	1
浸	つ	1
未曾有	みぞう	1
桃井春蔵	もものいしゆんぞう	1
蝟集	いしゆう	1
面籠手	めんこて	1
多士済々	たしせいせい	1
駕籠	かご	1
近藤	せんせい	1
剣客	そいつ	1
七里	あいつ	1
脛	すね	1
免	めん	1
折助	おりすけ	1
惣菜	そうざい	1
雑魚	ざこ	1
蚤	のみ	1
敏捷	びんしよう	1
上士	じようし	1
俊髦	しゆんぼう	1
煤	すす	1
御意	ぎよい	1
縞地	しまじ	1
懐	なつか	1
端	はし	1
体作	ていづく	1
戸張節五郎	とばりふしごろう	1
小兵	こひよう	1
然	ぜん	1
常寸	じようすん	1
大柄	おおがら	1
威圧	おし	1
前	めえ	1
下段	げだん	1
試	ため	1
日向	ひなた	1
起頭	おこりがしら	1
撞木	しゆもく	1
所詮	しよせん	1
田臭	でんしゆう	1
退	の	1
沁	し	1
採	と	1
気障	きざ	1
酒肴	しゆこう	1
暫時	ざんじ	1
今日風	こんにちふう	1
拝跪	はいき	1
眼福至極	がんぷくしごく	1
巧者	こうしや	1
打物	うちもの	1
負	ひ	1
話柄	わへい	1
請	う	1
招	よ	1
約定	やくじよう	1
苦	にが	1
諸肌	もろはだ	1
村	むら	1
角力	ずもう	1
木賃宿	きちんやど	1
若	わか	1
襲	や	1
韋駄天	いだてん	1
繰	く	1
老院主	ろういんじゆ	1
嫁	い	1
元亀	げんき	1
天正	てんしよう	1
一重	ひとえ	1
手負	ておい	1
西武	せいぶ	1
覇	は	1
軒端	のきば	1
小宿	こじゆく	1
什器蔵	じゆうきぐら	1
惹	ひ	1
囁	ささや	1
温和	おとな	1
抗	さから	1
堪忍	かんにん	1
土用	どよう	1
性根	しようね	1
武器	えもの	1
墜	おと	1
顔馴染	かおなじみ	1
功徳	くどく	1
夜発	よだ	1
勘	かん	1
露	ば	1
戯言	ざれごと	1
濁酒	どぶ	1
嗜	たしな	1
腸	はらわた	1
戯作	げさく	1
殷賑	いんしん	1
闇組	くらやみぐみ	1
郊外	はずれ	1
坂東	ばんどう	1
土方次郎	ひじかたのじろう	1
東鑑	あずまかがみ	1
被官	ひかん	1
小競合	こぜりあい	1
戦法	やりかた	1
乙	おつ	1
面妖	おかし	1
注連縄	しめなわ	1
掌	て	1
竹札	たけふだ	1
廃	すた	1
七九	しちく	1
注連	しめ	1
大日	だいにち	1
代僧	だいそう	1
代詣	だいまい	1
山城	やましろ	1
近江	おうみ	1
比叡山	ひえいざん	1
日枝	ひえ	1
延暦寺	えんりやくじ	1
勧請	かんじよう	1
祠	ほこら	1
梟	ふくろう	1
下手	したて	1
飛地	とびち	1
扼	やく	1
関銭	せきぜに	1
供	とも	1
裏籠手	うらごて	1
後	あと	1
鈍	どん	1
質	たち	1
公卿	くげ	1
虎列剌	コレラ	1
数奇	さつき	1
咳	せき	1
蔓延	まんえん	1
山内	さんない	1
月岑	げつしん	1
武江	ぶこう	1
犀角	さいかく	1
夜舖	よみせ	1
花柳街	いろまち	1
髪結床	かみゆいどこ	1
風上	かざかみ	1
一昨年	おととし	1
掃部	かもんの	1
頭	かみ	1
直弼	なおすけ	1
面妖	みよう	1
罹	かか	1
松床	まつどこ	1
患	わずら	1
米櫃	こめびつ	1
工面	くめん	1
金穀	きんこく	1
猖獗	しようけつ	1
鷲	おおとり	1
現実	ありよう	1
水滸伝	すいこでん	1
梁山泊	りようざんぱく	1
落胤	らくいん	1
播州	ばんしゆう	1
一	はじめ	1
無代	ただ	1
食扶持	くいぶち	1
飯櫃	はち	1
山南	やまなみ	1
干	ひ	1
筆蹟	て	1
迎合	げいごう	1
阿諛	おべつか	1
情報	はなし	1
長	た	1
周防	すおうの	1
高輪	たかなわ	1
筐	はこ	1
納	い	1
忠敏	ただとし	1
檄文	げきぶん	1
武士	ぶし	1
汎武士	はんぶし	1
先手	さきて	1
辺	べ	1
大先生	ごいんきよ	1
将来	すえ	1
直参	とのさま	1
然	しか	1
二合半	こなから	1
坂	ざか	1
上総	かずさの	1
介	すけ	1
連枝	れんし	1
将軍家	たいじゆこう	1
現代	とうせつ	1
浪漫	ロマン	1
正成	まさしげ	1
河内	かわち	1
簒奪	さんだつ	1
樫材	かしざい	1
刀箪笥	かたなだんす	1
口	ふり	1
束	たば	1
夫婦	ふたり	1
金子	きんす	1
上	うえ	1
虎徹	こてつ	1
愛宕	あたご	1
下	した	1
生死	しようじ	1
輿入	こしい	1
傲岸不遜	ごうがんふそん	1
兼定	かねさだ	1
上作	じようさく	1
異名	いみよう	1
之	ノ	1
人間無骨	にんげんぶこつ	1
盲	めし	1
嗤	わら	1
刀師	れんぢゆう	1
一口	ひとふり	1
値	あた	1
廉	やす	1
運賦天賦	うんぷてんぷ	1
誕生	うま	1
事実	はなし	1
奉行所	おかみ	1
砥	と	1
蝋色	ろいろ	1
黒漆	こくしつ	1
小豆	あずき	1
粒	つぶ	1
柾目肌	まさめはだ	1
狐憑	きつねつ	1
調伏	ちようぶく	1
打粉	うちこ	1
清水谷	しみずだに	1
稲荷	いなり	1
縁	ふち	1
一蹶	いつけつ	1
死地	なか	1
空	くう	1
左拳	ひだりこぶし	1
右眼窩	みぎがんか	1
滲	にじ	1
壬生郷	みぶごう	1
朱雀大路	すざくおおじ	1
郊	まち	1
床	とこ	1
前栽	せんざい	1
数寄者	すきしや	1
尺度	しやくど	1
目付役	めつけやく	1
組頭	くみがしら	1
祐天	ゆうてん	1
桃珉	とうみん	1
新見錦	にいみにしき	1
先生面	せんせいづら	1
壬生菜	みぶな	1
真底	しんぞこ	1
干魚	ほしざかな	1
八双	はつそう	1
紅殻	べんがら	1
京格子	きようごうし	1
憮然	ぶぜん	1
碧血	へきけつ	1
剽勇	ひようゆう	1
食	は	1
妨	さまた	1
禁裡	きんり	1
御感	ぎよかん	1
叡慮	えいりよ	1
腐	くさ	1
肉	み	1
芹沢鴨	せりざわかも	1
天狗党	てんぐとう	1
例	くだん	1
入洛	じゆらく	1
有無	うむ	1
朴念仁	ぼくねんじん	1
会津	あいづ	1
誅戮	ちゆうりく	1
万	ばん	1
外島機兵衛	とじまきへえ	1
利	き	1
金飛脚	かねびきやく	1
金戒光明寺	こんかいこうみようじ	1
大方丈	だいほうじよう	1
戯	ざ	1
俚謡	りよう	1
本夕	ほんせき	1
傀儡師	かいらいし	1
空家	あきや	1
首尾	しゆび	1
尿	ゆばり	1
悠々	ゆうゆう	1
夷川	えびすがわ	1
勅諚	ちよくじよう	1
生麦	なまむぎ	1
深傷	ふかで	1
纏	まと	1
元祇園社	もとぎおんしや	1
壬生浪	みぶろ	1
嘲	あざ	1
費	つか	1
経費	ぞうよ	1
黒縮緬	くろちりめん	1
夕餉	ゆうげ	1
高望	たかのぞ	1
助勤	じよきん	1
昌平黌	しようへいこう	1
鞅掌録	おうしようろく	1
外套	がいとう	1
大髪	だいはつ	1
頭	かしら	1
偉	ふとぶと	1
建仁寺	けんにんじ	1
伝	でん	1
鴨川	かもがわ	1
黄昏	たそがれ	1
雑掌	ざつしよう	1
跳梁	ちようりよう	1
閏	うるう	1
猿	ましら	1
帯刀	たてわき	1
宇郷玄蕃	うごうげんば	1
執拗	しつよう	1
先斗町	ぽんとちよう	1
狭斜	きようしや	1
淡	あわ	1
癆痎	ろうがい	1
木屋町	きやまち	1
紅次	べにじ	1
股立	ももだち	1
右袈裟	みぎげさ	1
枡	ます	1
喧	かまびす	1
狼藉	ろうぜき	1
敵	かたき	1
大寺	おおでら	1
盂蘭盆	うらぼん	1
鉦	かね	1
読経	どきよう	1
抹香	まつこう	1
新仏	にいぼとけ	1
守人	もりと	1
発心	ほつしん	1
士大夫	したいふ	1
鋳型	いがた	1
紊乱	びんらん	1
厠	かわや	1
老坂	おいのさか	1
備中	びつちゆう	1
股肱	てあし	1
屁	へ	1
御倉伊勢武	みくらいせたけ	1
謳	うた	1
意味	こころ	1
怯懦	きようだ	1
紊	みだ	1
瀆	けが	1
富岳	ふがく	1
奢	おご	1
鑑	かがみ	1
強請	ゆすり	1
高麗橋	こうらいばし	1
角屋	すみや	1
辰	たつ	1
絽	ろ	1
仙台平	せんだいひら	1
桂木	かつらぎ	1
大夫	だゆう	1
大夫	こつたい	1
金蒔絵	きんまきえ	1
大門	おおもん	1
左様	さい	1
三方	さんかた	1
介錯	かいしやく	1
剥奪	はくだつ	1
不逞	ふてい	1
摚	どう	1
馴染	なじみ	1
罵	ののし	1
逆手	さかて	1
愧	は	1
悖	もと	1
出会	でく	1
火傷	やけど	1
沈湎	ちんめん	1
呉服	ふともの	1
手籠	てご	1
台	だい	1
殺戮	さつりく	1
荒神口	こうじんぐち	1
同衾	どうきん	1
文机	ふづくえ	1
肩胛	かいがら	1
骨	ぼね	1
穴籠	あなごも	1
小糠雨	こぬかあめ	1
拒	こば	1
華葱窓	かそうまど	1
硯箱	すずりばこ	1
内容	なか	1
瘧	おこり	1
御苦吟	ごくぎん	1
石巴	せきは	1
硯	すずり	1
噺	はなし	1
鳶	とんび	1
止	や	1
墨	すみ	1
生家	さと	1
床上手	とこじようず	1
遊	あそ	1
女	め	1
暁	あかつき	1
清水	きよみず	1
物詣	ものもう	1
前関白	さきのかんぱく	1
和宮	かずのみや	1
隠遁	いんとん	1
化物	ばけもの	1
下	しも	1
男衆	おとこし	1
公卿	こつ	1
里下	さとさが	1
女	ひと	1
荒	すさ	1
恋	こ	1
逢瀬	おうせ	1
褪	あ	1
綺羅	きら	1
震撼	しんかん	1
侮蔑	ぶべつ	1
情事	なか	1
隠棲	いんせい	1
尼門跡	あまもんぜき	1
里御坊	さとごぼう	1
後	うし	1
錚々	そうそう	1
窺	うかが	1
四	よ	1
路	じ	1
沢山	ぎようさん	1
樽	たる	1
屯	たむろ	1
蹲踞	そんきよ	1
柄	つか	1
銹	さ	1
芋道場	いもどうじよう	1
泥臭	どろく	1
適	あ	1
泥鰌	どじよう	1
臭	くせ	1
弾	はず	1
物蔭	ものかげ	1
沸	たぎ	1
肥	ふと	1
家茂	いえもち	1
怯者	きようしや	1
蟄居	ちつきよ	1
達磨	だるま	1
陋習	ろうしゆう	1
強靭	きようじん	1
気色	けしき	1
元亀天正	げんきてんしよう	1
法度書	はつとがき	1
背	そむ	1
闘	たたか	1
藪蛇	やぶへび	1
面	おもて	1
枢機	すうき	1
我孫子	あびこ	1
薪木	くろき	1
大原女	おはらめ	1
日和雨	そばえ	1
祇園会	ぎおんえ	1
干菓子	ひがし	1
魁	かい	1
修験者	しゆげんじや	1
黙劇	パントマイム	1
映	うつ	1
緊	しま	1
情報	ききこみ	1
訪	と	1
本圀寺	ほんこくじ	1
兵輔	ひようすけ	1
人懐	ひとなつ	1
土寇的	どこうてき	1
土匪	どひ	1
古高	ふるたか	1
嘯集	しようしゆう	1
謀反	むほん	1
梳	す	1
示唆	しさ	1
丹虎	たんとら	1
霍乱	かくらん	1
折	おり	1
悪敷	あしく	1
下拙	げせつ	1
亥	い	1
一時余	いつときよ	1
追々	おいおい	1
稀	まれ	1
鉢金	はちがね	1
刀痕	とうこん	1
紅殻壁	べんがらかべ	1
執行	しぎよう	1
屋	おく	1
対馬	つしま	1
藩	はん	1
命冥加	いのちみようが	1
稔麿	としまろ	1
松助	まつすけ	1
浪秀	なみひで	1
稜威雄	みずお	1
乙之進	おとのしん	1
女中衆	おなごし	1
粗忽	そこつ	1
捧	ささ	1
反駁	はんばく	1
眼庇	まびさし	1
木錠	もくじよう	1
仰天	ぎようてん	1
段梯子	だんばしご	1
愛弟子	まなでし	1
猥	みだ	1
遭遇	そうぐう	1
対峙	たいじ	1
屍	しかばね	1
立腹	たちばら	1
楯	たて	1
人別外	にんべつがい	1
御工風	ごくふう	1
定敬	さだあき	1
疏通	そつう	1
与力	よりき	1
素姓	すじよう	1
地付	じつき	1
御家人並	ごけにんなみ	1
面妖	めんよう	1
嵯峨	さが	1
巨刹	きよさつ	1
練塀	ねりべい	1
下嵯峨	しもさが	1
神保	じんぼう	1
強談	ごうだん	1
掛矢	かけや	1
填	こ	1
冤	えん	1
真木	まき	1
主上	しゆじよう	1
玉	ぎよく	1
虎口	ここう	1
恫喝	どうかつ	1
乙訓郡	おとくにぐん	1
来島	きじま	1
篝火	かがりび	1
国司信濃	くにししなの	1
蛤御門	はまぐりごもん	1
骨董品	こつとうひん	1
出雲	いずも	1
観柳斎	かんりゆうさい	1
武家有職	ぶけゆうそく	1
兜	かぶと	1
摩利支天	まりしてん	1
制服羽織	はんてん	1
勧進橋	かんじんばし	1
蒔田	まきた	1
篝火	かがり	1
鯖江	さばえ	1
膳所	ぜぜ	1
柏原	かいばら	1
篠山	ささやま	1
出石	いずし	1
選鋒隊	せんぽうたい	1
上	かみ	1
大仏	だいぶつ	1
采女	うねめの	1
氏彬	うじあきら	1
筋違橋	すじかいばし	1
真直中	まつただなか	1
錯綜	さくそう	1
叱咤	しつた	1
夾撃	きようげき	1
萌黄縅	もえぎおどし	1
雲竜	うんりよう	1
討会奸薩賊	とうかいかんさつぞく	1
大旆	たいはい	1
下立売門	しもだちうりもん	1
中立売門	なかだちうりもん	1
一橋兵	ひとつばしへい	1
鮒鮨	ふなずし	1
訃報	ふほう	1
甲子太郎	かしたろう	1
稀覯本	きこうぼん	1
常陸	ひたち	1
志筑	しずく	1
勁烈	けいれつ	1
直談	じきだん	1
奥義	おうぎ	1
閥	ばつ	1
比喩	ひゆ	1
檄	げき	1
眼鯨	めくじら	1
落	おと	1
胤	だね	1
走狗	そうく	1
佞弁	ねいべん	1
綻	ほころ	1
金打	きんちよう	1
覇府	はふ	1
不日	ふじつ	1
七子	ななこ	1
紋付袷	もんつきあわせ	1
竪縞	たてじま	1
金象嵌	きんぞうがん	1
剃刀	かみそり	1
匕首	あいくち	1
薄刃	うすば	1
鎚	つち	1
大法螺	おおぼら	1
喙	くちばし	1
容	い	1
他言	たごん	1
来	きた	1
西陬	せいすう	1
藁人形	わらにんぎよう	1
擁	よう	1
拠	よ	1
七	し	1
三	め	1
之助	のすけ	1
奪	うば	1
座長	ざがしら	1
土偶	でく	1
観巧者	みごうしや	1
臆	おく	1
宛	あ	1
止	よ	1
万世	よろずよ	1
御代	おんよ	1
駐旆所	ちゆうはいじよ	1
一橋慶喜	ひとつばしよしのぶ	1
分	ぶん	1
時世	ときよ	1
磧	がわら	1
協	たす	1
湿板	しつばん	1
背後	バツク	1
舎密	せいみ	1
南京寺	ナンキンでら	1
写真	ほとがら	1
形相	ぎようそう	1
暁	あけ	1
関係	かかわり	1
諸天	しよてん	1
蛇蝎	だかつ	1
弛	ゆる	1
毀誉褒貶	きよほうへん	1
敦賀	つるが	1
筑波山	つくばさん	1
玄蕃頭	げんばのかみ	1
剥	む	1
赤裸	あかはだか	1
来迎寺	らいこうじ	1
昵懇	じつこん	1
翠	みどり	1
葛湯	くずゆ	1
使	いし	1
明里	あけさと	1
室内	なか	1
総攬	そうらん	1
馬標	うまじるし	1
慶永	よしなが	1
可悪	にくむべき	1
入説	にゆうぜい	1
彼奴	あいつ	1
離縁	いな	1
嬶貰	かかもろ	1
長	ひさ	1
杯	さかずき	1
諧謔	かいぎやく	1
誦	よ	1
訓	よ	1
流浪	るろう	1
帝	みかど	1
恩智左近	おんじのさこん	1
瀟洒	しようしや	1
